Code_Departement,Evolution.effectifs.Vaches_laitieres,Evolution.effectifs.Vaches.allaitantes,Evolution.effectifs.Brebis.meres.nourrices,Evolution.effectifs.Porcs,Evolution.effectifs.Poulets.de.chair,Evolution.effectifs.Poules.pondeuses
01,0.694518131807239,0.420093002657219,1.20078222222222,0.600131606289395,0.620008799801673,0.780024910691067
02,0.694541255863545,0.250039969303575,1.20089270085769,0.60081130915796,0.620020767986751,0.780717151454363
03,0.695113530526383,0.420006354073162,1.20004278501954,1.10036138757368,1.20000995132833,1.00010927303081
04,2.03064066852368,0.420466874166296,1.000020772027,1.05,1.00839793281654,1.00018043484798
05,2.00336842105263,0.420411092985318,1.0,1.00219378427788,1.00614250614251,1.0006927606512
06,2.11295681063123,0.439833333333333,1.00044027649364,1.28846153846154,1.03846153846154,1.00220458553792
07,0.694770832245374,0.420064535955747,1.20003656975681,0.601285255265976,0.620006863702912,0.780010659669551
08,0.694564754087091,0.420055103647336,1.20051698140303,0.601684942497995,0.620025469543356,0.781585365853658
09,0.694737376577928,0.420026151116092,1.20003609619636,0.604590665646519,0.620108265424912,0.780118956840018
10,0.695188105745933,0.420331840927048,1.20127698388568,0.600513094601817,0.620012665179049,0.782669709070166
11,2.01497326203209,0.420364548172437,1.00016175621028,1.00123558484349,1.0000327095501,1.00074452244203
12,0.694509238006971,0.42000502185103,1.20000348676048,0.600066057989478,0.620139632651019,0.780056587347649
13,2.33365633074935,0.42106938255888,1.00011737270467,1.00791666666667,1.00104930662558,1.00085416136421
14,0.694498067427684,0.420057048607742,1.20080736983749,0.600314226609757,0.620034815422109,0.780034447732191
15,0.694444444444444,0.42,1.20007204827234,1.10016660355926,1.20072586498911,1.00017165417406
16,0.69457326593393,0.27533536921576,1.20020151133501,0.600145741351965,0.620059139903292,0.780357044767921
17,0.694670395504736,0.275359612728009,1.20293318848452,0.60811623246493,0.620094484904873,0.780931751214462
18,0.866053269348369,0.420013090229079,1.20027027027027,0.601459262261857,0.620014244737312,0.780499040307101
19,0.694743098113703,0.42,1.2,0.600206771775653,0.620031418312388,0.780070061977904
21,0.694805898937324,0.420029440628066,1.20043408609374,0.60422276621787,0.62009644892591,0.781576553815058
22,0.694455720028745,0.361166538453844,1.20211052485421,0.600001047940971,0.620000536785552,0.780000770859977
23,0.694600745242204,0.42,1.2,0.600149077582458,0.620032878455773,0.78
24,0.730154628313503,0.420009723460163,1.20006789506441,0.600336724983529,0.620004973504723,0.780085909841869
25,0.694482058429866,0.420400890868597,1.20081621548089,0.600134244872592,0.621191602602011,0.780350908763721
26,0.696603498901966,0.420574380793193,1.20013110660215,0.600373150904003,0.620002484146614,0.780003040436342
27,0.694664249609147,0.406264414399582,1.20032646398694,0.600415986949429,0.620016751517865,0.780035906229501
28,0.866727368074789,0.420411613377435,1.20290820963344,0.600198609731877,0.620013333620078,0.780064831746183
29,0.694452746876127,0.361160212205757,1.20411805078929,0.600001746278535,0.620000420682996,0.780005491766982
2A,0.0,0.42,1.00016558347477,1.00147547030616,1.41176470588235,1.01149425287356
2B,0.0,0.420031675402542,1.00003002687405,1.00626631853786,1.20833333333333,1.01349831271091
30,4.42857142857143,0.421381200328857,1.00036946512818,1.0765306122449,1.00013449551251,1.00120858092456
31,0.694820400446851,0.420030347551723,1.20020039243519,0.602764976958525,0.62003627950523,0.780451893234016
32,0.694852749033135,0.42,1.20046993006993,0.600230051548588,0.620000808306259,0.780037393930678
33,0.732020544427449,0.420332177404636,1.20222147425109,0.632278481012658,0.620097426649406,0.780402663775748
34,2.22421524663677,0.422410329985653,1.00064505177389,1.01486620416254,1.00046416020158,1.00203606748109
35,0.694453584436957,0.361158189515248,1.2004025719877,0.600003676078653,0.620001248585501,0.780008572653237
36,0.865940056955177,0.420013786312162,1.2000632033568,0.600134797803295,0.62000736635122,0.780105055221335
37,0.865772308493284,0.420127311306456,1.20081694402421,0.600265991133629,0.620006348639797,0.780110968843363
38,0.694575793875964,0.420079344088865,1.20025908413757,0.600549978175469,0.620031662673368,0.780053934075964
39,0.694471815488507,0.420127931769723,1.20105561528687,0.600934579439253,0.620325729296281,0.780213815789473
40,0.730802239222861,0.420156858560529,1.20267320115839,0.60020412435884,0.620000750071378,0.780073547900427
41,0.866217378845187,0.420263957264062,1.20173598553345,0.600234009360374,0.620004254833654,0.780132084565384
42,0.694456403397491,0.420017109569138,1.20008467798843,0.600111729242801,0.620010908024631,0.780032776322609
43,0.694462295798362,0.420035219141324,1.20001968374779,1.10019663925635,1.20006097942335,1.0001917986881
44,0.694484542035106,0.250020886710482,1.20083040877861,0.60004822465269,0.620001490502527,0.780024655050556
45,0.866342032496499,0.420339302544769,1.20273383116061,0.601120448179272,0.620008775002565,0.780083595910231
46,0.694566928619489,0.420019944914047,1.20001041007001,0.600210151484195,0.62001330255967,0.780067886594573
47,0.730440183591475,0.42003293988471,1.20089425441538,0.600557006092254,0.620002082264214,0.780052047035098
48,2.00051423796362,0.420016706111653,1.00001488062022,1.00267379679144,1.00012849547857,1.00024709661478
49,0.694459627374458,0.25,1.20035371565192,0.600022739947049,0.620002008175717,0.780005009288055
50,0.694450283374976,0.420018516477461,1.20005706812507,0.600038190775655,0.620004080847358,0.780017617250709
51,0.695468900253519,0.420415195593843,1.20587109125718,0.600450235350297,0.620013912515708,0.785419561731695
52,0.694493721452187,0.42004042218729,1.20018185492019,0.602300109529025,0.620149997153754,0.781565217391304
53,0.694452886255044,0.25,1.20015678076823,0.600009015289932,0.620000276535166,0.780013984584685
54,0.694549849621947,0.420082582336556,1.2004045171077,0.601434548714884,0.621290919606709,0.780283314415437
55,0.694488561364872,0.42,1.20029280195201,0.602217294900221,0.620117676831583,0.780184369921702
56,0.694458136262433,0.361180449985676,1.20122084833307,0.600003402286336,0.620000255623511,0.780001281529599
57,0.694593292952387,0.420049087402848,1.20031138212889,0.600770218228498,0.620714510214772,0.780240688740087
58,0.696624119411313,0.42,1.20009378846793,0.601097694840834,0.62005974867011,0.781462043111528
59,0.694577114986964,0.250156174574779,1.20407070166042,0.600101407974611,0.62000693458415,0.78003176236965
60,0.694624725972078,0.250065082980801,1.20083044982699,0.0,0.621299463447351,0.780173245335702
61,0.694457530010437,0.420014615304311,1.20016914908613,0.600159590384679,0.620013358941235,0.780124240915878
62,0.694597277242028,0.250154637725982,1.20222376650452,0.600113118972879,0.620006224420477,0.780111855095805
63,0.694524632019219,0.420018210789893,1.20010668681862,1.1006301518093,1.2000092454256,1.00019319564923
64,0.730180151315677,0.420016085020824,1.20001398014819,0.600044560963111,0.620006309726137,0.780018560292396
65,0.694687342116513,0.420018504240555,1.2,0.600329011789589,0.62000472655843,0.780052752603814
66,2.03179650238474,0.420452099031216,1.00066656791586,1.16279069767442,1.00332991803279,1.00025119316755
67,0.905202898286962,0.420094261988479,1.20061561421509,0.600136225721893,0.620008955091454,0.780016938478578
68,0.905271812349315,0.420466977985324,1.20260021668472,0.600484545921739,0.620307799235467,0.780156387057968
69,0.694669933386467,0.420295722584052,1.20068754774637,0.60256837098692,0.620043335430209,0.780267266302602
70,0.694487887044606,0.42003078050568,1.20031832651205,0.600846774193549,0.620205823195141,0.780441693969178
71,0.695012007103362,0.420007682879983,1.20017689657079,0.600530347672363,0.620004615829547,0.780985626283368
72,0.694467137965716,0.250008015004088,1.20035781731438,0.600005934864858,0.620000170301458,0.780004155099357
73,0.694492205410362,0.420289405684755,1.20027469832238,0.612032085561498,0.630961325966851,0.780255096478797
74,0.694444444444444,0.420202702702703,1.20057775637939,0.601134751773049,0.621756373937677,0.780854981913844
75,0.0,0.0,0.0,0.0,0.0,0.0
76,0.694526346941159,0.406236557230233,1.20038680185196,0.600418013599375,0.620032280066018,0.780197505855542
77,2.01304121022431,0.251980982567353,1.21885521885522,1.8,0.620031089878011,0.780150704876517
78,2.08630952380952,0.255105900151286,1.34380165289256,0.685714285714285,0.620379615674453,0.781174454828661
79,0.694501579988238,0.275325478292236,1.20004117203047,0.600074925794645,0.620000879256951,0.780007275810897
80,0.694502114890601,0.250075875823795,1.20070319367126,0.600188715765025,0.620012396639133,0.780034661613774
81,0.694511246853607,0.420021271207901,1.20003929328225,0.6003298992939,0.620035675924505,0.780264104626064
82,0.694902672385351,0.420055875831486,1.20022481172018,0.601107862748115,0.620012407834661,0.780031895752685
83,3.06666666666667,0.590270270270271,1.00037355248412,0.0,1.00437424058323,1.00696202531646
84,7.0,0.588,1.00052377959355,1.00670141474311,1.00002076972605,1.00014396314543
85,0.694462494855633,0.250003495403544,1.2003368218453,0.600027043559448,0.620000334358219,0.78000178952919
86,0.694940863010138,0.275357489114736,1.20005519017615,0.600291278770918,0.620245602915544,0.780142641612947
87,0.694543885189693,0.42000589606087,1.20000932756061,0.60068073519401,0.620014855162169,0.780119375573921
88,0.694466527455366,0.420034185251506,1.20010904877661,0.601783723522854,0.62055900621118,0.780190050761421
89,0.694799749864984,0.420110298255487,1.20069041568778,0.600612713811591,0.620004864336871,0.780237091466557
90,0.694848818150449,0.42048629872636,1.20254641909814,0.0,0.631221719457014,0.780282957266198
91,3.01538461538462,0.58,0.0,0.0,0.623883369330453,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0
95,2.16129032258064,0.258474576271186,1.30478873239437,0.0,0.622166265060241,1.19785714285714
