Crop,Ble.tendre,Ble.tendre,Ble.dur,Ble.dur,Triticale,Triticale,Mais.grain,Mais.grain,Mais.ensilage,Mais.ensilage,Orge,Orge,Avoin,Avoin,Sorgho,Sorgho,Seigle,Seigle,Betterave,Betterave,Pomme.de.terre,Pomme.de.terre,Tournesol,Tournesol,Colza,Colza,Soja,Soja,Pois,Pois,Orge.d.hiver.et.escourgeon,Orge.d.hiver.et.escourgeon,Orge.de.printemps,Orge.de.printemps,Pois.proteagineux,Pois.proteagineux
Year,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2243397.0229999973,1884435.5741952546,3487.91952380953,2929.824530928273,250856.652,52679.39582314414,4370328.64038095,3671041.1382489614,1279543.1514285703,1074806.02343204,489719.90969047573,411360.8111944173,31373.27885714288,356259.94965043844,14462.433428571432,8643.428769410995,10309.725380952385,5607.106861159387,0.0,0.0,102510.27457142841,55797.56476474521,128655.63866666652,87496.01299617875,166945.03333333353,104843.7837305547,48470.76571428574,21380.290926242338,289.38,289.38,2810.0,2810.0,25.0,25.0,78.0,78.0
02,14660337.760000017,8078693.3772095,1516.8,835.8444611000122,9849.599999999999,2025.260762064544,2057663.5999999975,1133891.5630716695,1310672.8,1034874.9293353903,2819012.0519999997,4484866.061824548,45570.200000000004,192576.11764168934,0.0,0.0,1304.8,1076.1165257545917,43305329.60000005,35511796.97526198,2861367.4499999997,2286844.953232184,29930.931,23923.32517596766,1622189.4919999999,1332639.5502437013,0.0,0.0,123.2,123.2,19832.0,19832.0,19841.0,19841.0,5699.0,5699.0
03,2751021.0,8272338.520317109,568.8,1710.385398859686,802024.2,602923.0314750881,1905691.0999999999,5730425.865289826,1013927.6,3048887.0649452247,639029.12,1921564.8317407772,42387.8,4024344.9523207033,24973.0,14186.014878636517,9366.6,5687.329120884358,315970.38,199272.81748794572,771.0,472.42684046402337,82061.1,54587.33377571602,357696.0,245963.88600103883,2356.9,1216.5976220558637,1934.64,1934.64,10273.0,10273.0,606.0,606.0,1175.0,1175.0
04,62589.855,41403.82334757231,771814.2,510562.91461208597,49555.799999999996,8195.415970557922,92769.29999999999,61367.832043674476,5086.4,3364.705143910172,106052.585,70154.85967963014,8000.200000000001,76990.16257828636,339.0,181.20274649048082,5498.8,2462.8872776282165,0.0,0.0,34437.52,17779.835024772397,15601.300000000001,10565.460395388161,19468.55,10841.378290970675,2175.6,787.9772690096619,35.52,35.52,1939.0,1939.0,420.0,420.0,1117.0,1117.0
05,90065.643,59579.33554020076,10428.0,6898.227673933483,92237.4,15253.993700893521,19117.699999999997,12646.552282504617,39766.4,26305.876579661344,134901.624,89238.79132483403,33724.6,324549.69086868776,0.0,0.0,2376.6,1064.468230161348,0.0,0.0,7972.200000000001,4115.987469030595,1136.625,769.7413947496727,0.0,0.0,0.0,0.0,29.97,29.97,2154.0,2154.0,1403.0,1403.0,0.0,0.0
06,460.499,304.62475504590475,284.4,188.1334820163677,410.4,67.87093971476538,0.0,0.0,0.0,0.0,2053.296,1358.2761114285504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7830.6759999999995,4042.9196821503,0.0,0.0,0.0,0.0,0.0,0.0,43.29,43.29,0.0,0.0,0.0,0.0,0.0,0.0
07,98902.516,83077.32319203297,71431.8,60002.14124773792,95725.79999999999,20102.22678363391,60260.399999999994,50618.25450912878,121958.0,102443.74553478451,75830.85900000001,63697.315658506406,1591.2,18068.906169006103,19436.0,11615.865503684201,46972.8,25546.89862588146,0.0,0.0,25344.033,13795.059359947187,11102.0,7550.238344394089,502.2,315.38852721874645,0.0,0.0,234.26,234.26,1421.0,1421.0,201.0,201.0,17.0,17.0
08,4785505.452,4640611.93201419,0.0,0.0,80951.4,19625.096895263854,1193050.2,1156927.5281669693,1560715.5999999999,1513460.9099261942,1874813.458000003,1818048.6451769685,49017.8,339601.40370184707,0.0,0.0,279.6,223.6916547689752,7746363.699999999,6232748.09241832,364204.251,284191.94196174765,5412.6,4234.587136376221,530028.52,411334.2268346665,0.0,0.0,201.78,201.78,9903.0,9903.0,18138.0,18138.0,3761.0,3761.0
09,332642.5,337715.5602054355,165236.4,167756.3852854925,58892.399999999994,14947.638874950308,688149.1,698643.915949905,300097.6,304674.32483914925,102008.34,103564.04755473681,13304.2,96131.83287579281,34691.0,20333.332475951407,0.0,0.0,0.0,0.0,7591.518,4131.537087775727,101314.8,72792.86001827236,28726.0,17415.414347562877,11965.8,4656.648185652123,326.14,326.14,1926.0,1926.0,167.0,167.0,264.0,264.0
10,8914819.379999988,8644900.23081877,1279.8,1241.0507542332143,5745.599999999999,1392.909285341921,709821.7,688330.0173121601,320790.0,311077.25539183686,5670548.279999999,5498857.805758599,19978.4,138412.83541319644,0.0,0.0,0.0,0.0,18286971.599999998,14713753.674644532,3009206.579,2348111.695846398,207685.80000000002,162484.50228873454,1850526.432,1436120.5678966749,0.0,0.0,175.23,175.23,37246.0,37246.0,44646.0,44646.0,7481.0,7481.0
11,100832.0,55894.369478134955,1921643.4,1065227.7670265343,34576.2,4791.670545932573,216109.3,119796.2260181402,43812.4,24286.60021941289,108012.50899999999,59874.75291877954,4950.400000000001,36720.724731845825,59720.5,31014.316815668535,0.0,0.0,0.0,0.0,10686.895999999999,5287.933206309975,416014.5,263988.22737614514,66049.66500000001,38608.075758176645,3962.7,1388.1540358609736,261.45,261.45,1259.0,1259.0,106.0,106.0,1683.0,1683.0
12,509949.0,517726.124025648,0.0,0.0,908830.7999999999,230672.79643607984,115851.49999999999,117618.32665140508,1587881.5999999999,1612098.045450907,1023135.36,1038738.9803419284,60421.4,436585.43369172345,4859.0,2847.991193700034,30849.2,15559.98160507619,0.0,0.0,30737.032,16728.03616828009,720.8,517.8818247795062,8747.199999999999,5303.074301364687,0.0,0.0,680.64,680.64,21172.0,21172.0,2125.0,2125.0,25.0,25.0
13,9184.800000000001,6075.8382757522295,830258.4,549224.3451664496,666.9,110.29027703649376,62198.6,41145.00420022239,0.0,0.0,9852.84,6517.753505450594,0.0,0.0,16667.5,8909.135035781972,0.0,0.0,0.0,0.0,58575.632,30242.162427253144,38939.299999999996,26370.342982580827,5614.215,3126.366813236832,0.0,0.0,37.74,37.74,221.0,221.0,6.0,6.0,33.0,33.0
14,6385385.997000009,8370087.938655456,0.0,0.0,100855.79999999999,33050.93519483619,340858.89999999997,446804.463976614,4702492.399999999,6164118.337928396,1032437.8480000001,1353339.5761847761,46542.600000000006,337663.2551806129,0.0,0.0,233.0,172.29870385479705,6294742.500000007,4657505.743072636,337319.71,228920.887929301,9083.1,6924.5170762017515,585811.332,446434.32370803383,0.0,0.0,290.88,290.88,12488.0,12488.0,1200.0,1200.0,5087.0,5087.0
15,235760.4,708933.0973792529,0.0,0.0,237929.4,178863.82371635272,0.0,0.0,557654.4,1676870.505221271,50445.200000000004,151689.05330969868,795.6,75535.15030424678,0.0,0.0,21203.0,12874.302238817825,0.0,0.0,2160.0,1323.5304479925942,0.0,0.0,0.0,0.0,0.0,0.0,1450.98,1450.98,884.0,884.0,85.0,85.0,0.0,0.0
16,3553286.44,3295239.4086411707,300658.2,278823.7779026672,216742.5,50250.55252282232,3911111.4,3627078.3778596083,1074386.4,996362.2311822732,870226.287,807028.6490491552,30940.000000000004,369041.366309556,30623.0,20055.85624775952,0.0,0.0,0.0,0.0,22294.019999999997,13982.092788462773,1033476.9999999999,799135.7562450899,143186.799,103614.40887585992,0.0,0.0,391.65,391.65,13063.0,13063.0,3780.0,3780.0,3285.0,3285.0
17,5667810.199999999,5256202.06732852,1252213.2,1161274.8801249664,14004.9,3246.95877839775,4837130.499999994,4485848.050105454,947573.2,878758.4687971909,1752231.25,1624980.582216327,21790.600000000002,259910.56227230155,50059.0,32785.03438286888,1118.4,701.7214778360283,0.0,0.0,38163.855,23935.143225647014,1413579.6,1093049.9688513936,348554.12,252224.57207836278,854.6999999999999,452.2846939861686,525.93,525.93,12573.0,12573.0,17385.0,17385.0,9306.0,9306.0
18,6674755.968000011,4935836.549309752,240792.0,178060.43547948808,369821.69999999995,90507.68923814598,2024273.7,1496906.2782470954,415582.0,470486.8317448498,2625579.968,2946250.129145562,65990.6,369956.1059790386,24295.0,16699.296980907573,14772.2,11523.795339680491,0.0,0.0,4818.996,3595.6840217431277,278578.39999999997,220204.42726023277,1879649.905,1325892.5968292754,0.0,0.0,199.33,199.33,37004.0,37004.0,6262.0,6262.0,4485.0,4485.0
19,116439.68000000001,526818.2835051544,663.6,3002.3838345658505,265221.0,299990.67321707,202101.4,914385.136080661,345990.8,1565396.601610166,61430.700000000004,277936.31800190534,11359.400000000001,2038154.7434202333,960.5,543.9812994387576,36581.0,20164.370912023187,0.0,0.0,6646.904,3972.7565607304787,0.0,0.0,0.0,0.0,0.0,0.0,2869.65,2869.65,969.0,969.0,294.0,294.0,0.0,0.0
21,6559670.0,8999277.12451077,2133.0,2926.2841128565115,281431.8,96524.77791755907,633703.2999999992,869383.9189192415,728973.6,1000086.1998930227,4063172.5599999996,5574307.22462378,128931.40000000001,2023696.1145906074,508.5,290.95853410874275,20271.0,11558.57118048682,0.0,0.0,155235.738,94965.24529407798,205710.19999999998,148497.6001838849,1997486.7000000002,1388075.8676485878,60243.399999999994,38594.43372298093,741.28,741.28,52003.0,52003.0,16336.0,16336.0,2223.0,2223.0
22,6514805.223999992,7684578.542925425,0.0,0.0,708350.3999999999,208884.7669865763,2838493.9,3348162.925548231,9210198.799999999,10863946.601783715,1538291.2,1814500.8395251785,179319.40000000002,3279950.9459312744,0.0,0.0,1025.2,640.8715330460426,0.0,0.0,340364.168,205843.10782083255,0.0,0.0,309727.46,210941.81127745358,0.0,0.0,787,787,21346.0,21346.0,2142.0,2142.0,2106.0,2106.0
23,526412.5750000001,2381694.7038761047,0.0,0.0,651715.2,737153.0972049627,76470.79999999999,345983.56500349334,983756.0,4450893.778717846,279231.108,1263349.8564905229,31249.4,5606908.185206634,2260.0,1279.9559986794297,12908.2,7115.325786790348,0.0,0.0,1991.5770000000002,1190.336221637912,14935.300000000001,10313.686214157602,49543.155,32962.70986973736,0.0,0.0,2295.72,2295.72,4973.0,4973.0,449.0,449.0,160.0,160.0
24,1202769.5999999999,957624.006286246,30099.0,23964.29454586291,517104.0,102927.27803950211,2942363.8,2342658.3196878466,1336104.8,1063783.1479896759,380848.77,303225.09391373803,33636.200000000004,330972.96933083545,69438.5,40551.13868780976,699.0,354.9600218258364,0.0,0.0,6189.231,3413.076504526993,317909.6,220696.8379437565,50160.907,23164.06653283598,3781.3999999999996,1525.906431283831,1725,1725,5751.0,5751.0,2748.0,2748.0,185.0,185.0
25,518386.21500000084,841771.8257180161,0.0,0.0,148975.19999999998,60477.652791512686,342620.89999999997,556358.5839607044,459741.19999999995,746542.2074963759,341197.174,554046.6929426491,19669.0,327335.4078517614,1073.5,717.480886908057,32247.2,20374.54171076208,0.0,0.0,5680.878,3582.6444015580914,6786.0,5345.506157462367,48327.6,31453.517117273186,10722.599999999999,6832.272456945682,3790.38,3790.38,5355.0,5355.0,264.0,264.0,5.0,5.0
26,1237860.24,1039792.7108856108,377635.8,317211.054625566,62534.7,13132.162084271025,1745877.7,1466523.3181394811,109126.4,91665.30406145645,367046.433,308316.0709564139,19006.0,215823.04590757284,201705.0,120548.37165160639,9739.4,5296.926401596453,0.0,0.0,74469.192,40534.46916389766,156478.3,106417.62391691601,21182.7,13303.027788762527,19943.0,8796.789893013436,248.04,248.04,6420.0,6420.0,463.0,463.0,875.0,875.0
27,12495969.999999985,10351479.60447064,19197.0,15902.515288290795,7387.2,1529.862230265948,473537.4999999994,392271.5702103971,1649727.5999999999,1366610.3235148867,1927790.1880000024,1596953.322773716,18254.600000000002,80965.46066812522,565.0,380.6335063895757,0.0,0.0,7077866.600000009,5551266.828418693,941054.292,737843.9971027544,820.004,656.1952220857913,2033465.04,1595049.852228027,0.0,0.0,216.67,216.67,22788.0,22788.0,2392.0,2392.0,7938.0,7938.0
28,12513169.4,9253216.02292686,1985443.8,1468192.4135687633,73923.3,18091.493992532716,1954938.9999999998,1445634.7788790117,427488.8,483966.70481014036,3959623.0200000005,4443223.964314898,51360.4,287936.3664753133,3842.0,2640.819057445848,123257.0,96152.80338629305,6944629.39,4872958.9757694695,3147381.8880000003,2348412.5666436157,20590.0,16275.52300281785,2819955.996,1989178.28715594,0.0,0.0,199.33,199.33,42110.0,42110.0,10565.0,10565.0,17721.0,17721.0
29,3465691.298,4087977.4712070804,0.0,0.0,275019.3,81100.1764060715,3353614.5999999996,3955776.713241223,7497469.199999999,8843685.875414336,1414527.06,1668514.0875154734,68377.40000000001,1250698.5736642056,0.0,0.0,0.0,0.0,0.0,0.0,1594547.752,964339.6564599659,0.0,0.0,131992.40399999998,89894.24694415343,0.0,0.0,755.52,755.52,19516.0,19516.0,2282.0,2282.0,128.0,128.0
2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.422,847.6752572429772,0.0,0.0,0.0,0.0,0.0,0.0,89.76,89.76,0.0,0.0,0.0,0.0,0.0,0.0
2B,0.0,0.0,0.0,0.0,0.0,0.0,37794.899999999994,751372.3523744014,0.0,0.0,5454.0,108426.92558652053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.43,106.20456209050427,0.0,0.0,0.0,0.0,0.0,0.0,137.28,137.28,202.0,202.0,0.0,0.0,0.0,0.0
30,36607.415,20292.648957170546,1019052.6,564893.1147061853,9644.4,1336.5490543550798,15946.09999999998,8839.428010307116,0.0,0.0,91151.588,50528.210669140084,0.0,0.0,34126.0,17722.46675181059,0.0,0.0,0.0,0.0,63521.25,31430.65368852822,41489.544,26327.811110441053,6496.400000000001,3797.3470926070377,0.0,0.0,313.74,313.74,1690.0,1690.0,207.0,207.0,115.0,115.0
31,2047111.5599999998,2078331.624156333,2149353.0,2182132.3266697237,146051.1,37069.62358622258,1959696.3999999976,1989583.3140941835,624471.2,633994.8778047321,387988.93200000003,393906.06889946014,16751.8,121043.0719598853,296003.5,173495.64957900555,0.0,0.0,0.0,0.0,5704.3,3104.4551313451507,1274128.3,915438.2477902472,321296.811,194789.2881750191,106656.2,41506.66066778235,623.92,623.92,7010.0,7010.0,1271.0,1271.0,1616.0,1616.0
32,4779696.573,4852590.711537749,1563299.4,1587140.9475332268,194016.59999999998,49243.87650266729,5028307.5,5104993.151048628,262180.8,266179.2637654817,515495.74500000005,523357.46125703526,40531.4,292866.74666811293,241368.0,141472.30673821564,0.0,0.0,0.0,0.0,1697.024,923.5725443640539,1643551.2,1180861.9514075294,335474.3,203384.52751718348,217663.59999999998,84706.6479485291,453.76,453.76,8941.0,8941.0,1488.0,1488.0,1661.0,1661.0
33,241883.62099999955,192583.48581228152,10854.6,8642.241655122214,47914.2,9537.11088183482,2760789.6999999997,2198092.21402653,274203.2,218315.7663117763,26149.2,20819.533238269658,1635.4,16091.98405419305,8927.0,5213.246470849424,0.0,0.0,0.0,0.0,110976.28799999999,61198.323528790715,80662.5,55996.92079332697,3182.52,1469.6724886190987,647.5,261.2853478225738,1863,1863,165.0,165.0,81.0,81.0,120.0,120.0
34,23568.729000000003,13064.892562440838,750816.0,416201.0761870774,17134.2,2374.50736252445,28544.399999999965,15823.06450463815,0.0,0.0,37817.84,20963.62585116819,6983.6,51802.45096099678,19944.5,10357.66682680321,512.6,232.14961895231733,0.0,0.0,16534.676,8181.44597607917,5040.0,3198.2074326153815,1141.686,667.350842431217,0.0,0.0,313.74,313.74,568.0,568.0,0.0,0.0,190.0,190.0
35,6839578.58099999,8067666.952279849,0.0,0.0,657409.5,193862.85406525017,2280556.5999999996,2690044.5541680846,10816807.6,12759031.886278966,944572.5360000001,1114176.340321278,44995.600000000006,823019.4880350105,791.0,491.44833578029625,2563.0,1602.1788326151066,0.0,0.0,94427.83899999999,57107.42102724872,1075.5,782.8807582191757,293568.468,199936.6293639807,0.0,0.0,755.52,755.52,11778.0,11778.0,1148.0,1148.0,2491.0,2491.0
36,6681542.43,4940854.990034873,339573.6,251107.27554627016,463546.8,113445.34331472979,883378.7,653239.2937277985,628864.0,711946.6939337923,2521445.08,2829396.9268215573,104444.6,585536.69017312,48816.0,33553.93625931195,21575.8,16831.28467593712,0.0,0.0,984.096,734.2812202087996,325498.5,257292.7792196555,1632746.861,1151728.824467521,0.0,0.0,167.18,167.18,37332.0,37332.0,3761.0,3761.0,4612.0,4612.0
37,7147160.328000012,5285169.276576477,230790.6,170664.61817906052,157696.19999999998,38593.51320822038,1369074.0,1012400.3814231562,913008.7999999999,1033631.4317443182,1201236.7719999999,1347947.5155103705,55957.200000000004,313706.9190686288,95541.5,65670.95626677838,1211.6000000000001,945.1693338539203,0.0,0.0,9520.775,7103.906818372836,796031.7999999999,629229.4255402866,898177.4149999999,633568.4012325453,1450.3999999999999,838.3442503868296,192.9,192.9,17333.0,17333.0,2475.0,2475.0,2801.0,2801.0
38,1707791.8,1434531.4664523164,5972.4,5016.768279505625,205251.3,43102.36300177882,2868359.8,2409399.313316104,1191026.8,1000452.995492782,585866.598000001,492123.26114598475,19934.2,226363.24117282644,69438.5,41499.70553496478,11929.6,6488.1012383191,0.0,0.0,40297.725000000006,21934.532220891124,193116.19999999998,131334.29455626712,134269.4,84323.03527786687,15773.099999999999,6957.461097201535,365.17,365.17,8072.0,8072.0,647.0,647.0,552.0,552.0
39,1314786.8,2134992.121783073,0.0,0.0,106960.5,43421.45525836913,875802.1,1422154.9712402578,305993.2,496881.3737095567,466652.74600000004,757765.393080032,13790.400000000001,229502.57808932482,0.0,0.0,5452.2,3444.828584045034,0.0,0.0,849.24,535.5730102950977,84384.0,66471.43996335167,170237.2,110797.11560674765,65708.3,41868.29764075168,4134.96,4134.96,5500.0,5500.0,723.0,723.0,70.0,70.0
40,103038.1,82037.12342091357,0.0,0.0,80592.29999999999,16041.54303572002,11352125.5,9038362.709844224,502282.0,399908.09638476744,14672.98,11682.368669575588,2961.4,29139.538692727958,21696.0,12670.168638013793,3075.6,1561.8240960336802,0.0,0.0,137077.109,75591.72699102451,59166.8,41074.335821411645,4788.0,2211.075460800952,13727.0,5539.249373838564,1138.5,1138.5,118.0,118.0,40.0,40.0,17.0,17.0
41,5168812.264,3822224.0051146173,1522156.2,1125601.331604882,224540.09999999998,54952.44219661048,1266437.5,936502.9268312659,593606.0,672030.5649540483,1320491.910000002,1481767.6504961725,54896.4,307759.86847017147,31809.5,21864.428372676655,79453.0,61981.29670080517,422735.8400000005,296628.4145952746,399597.97500000003,298159.21279627737,227691.9,179980.80407990783,1374091.4880000001,969275.0370475628,0.0,0.0,199.33,199.33,16981.0,16981.0,2106.0,2106.0,4854.0,4854.0
42,574642.5090000001,482695.11606836884,0.0,0.0,325857.6,68429.44508555337,197696.4,166063.3963720541,1455519.5999999999,1222624.83415021,269576.845,226442.39583504194,7027.8,79804.33557977696,2938.0,1755.8866459057513,44270.0,24076.938189074783,0.0,0.0,52829.936,28755.964100197118,6725.0,4573.53205422899,4908.6,3082.66850797678,0.0,0.0,241.15,241.15,4481.0,4481.0,215.0,215.0,22.0,22.0
43,657310.2,1976536.1613951123,0.0,0.0,437435.1,328842.5668023587,12510.199999999999,37618.25495220541,902951.6,2715181.4917668626,338757.94399999996,1018647.4000796891,12199.2,1158205.6379984505,1017.0,577.7110131571433,115707.8,70256.90650326299,0.0,0.0,28952.703,17740.640727864135,5075.0,3375.907938252824,6102.0,4195.941895851054,0.0,0.0,2042.12,2042.12,6568.0,6568.0,745.0,745.0,56.0,56.0
44,3100234.665,4277740.825506723,2227.7999999999997,3073.945052821953,945202.5,326050.4251716875,721715.2,995831.2544153006,6011662.399999999,8294963.593552271,397571.29,548573.6152435327,15956.2,239393.84931347574,2938.0,1798.066643461231,4287.2,2622.519854471031,0.0,0.0,13476.732999999998,8219.359049912577,48656.1,34735.92831092136,229845.861,153905.55913425484,0.0,0.0,546.24,546.24,4366.0,4366.0,662.0,662.0,1920.0,1920.0
45,7157169.252,5292570.657710896,1279136.4,945893.4865845405,82028.7,20075.155374087313,2639652.1999999997,1951965.2656499748,455001.6,515114.3726697438,3447643.877,3868715.233075375,55736.200000000004,312467.9501939502,15085.5,10369.098357912375,54661.8,42641.678023486485,16917651.3,11870902.840399528,782072.4689999999,583541.7752221619,203958.1,161220.240318651,1171798.724,826579.0608095132,1061.8999999999999,613.7877547475001,231.48,231.48,21392.0,21392.0,31932.0,31932.0,3906.0,3906.0
