Crop,Ble.tendre,Ble.tendre,Ble.dur,Ble.dur,Triticale,Triticale,Mais.grain,Mais.grain,Mais.ensilage,Mais.ensilage,Orge,Orge,Avoin,Avoin,Sorgho,Sorgho,Seigle,Seigle,Betterave,Betterave,Pomme.de.terre,Pomme.de.terre,Tournesol,Tournesol,Colza,Colza,Soja,Soja
Year,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,33222.0,30448.32113267569,74.0,67.82179771892123,4894.0,1121.3509393121662,49349.0,45228.89048150059,11073.0,10148.523866778578,8083.0,7408.156634622166,716.0,656.2217184695621,254.0,203.003837832,223.0,166.429361338,0.0,0.0,339.0,246.52504529700002,4553.0,3394.842845252,5420.0,4060.8133481000054,1856.0,1381.94467456
02,176720.0,131185.02950160668,32.0,23.754645450720993,192.0,53.18204205385286,23356.0,17337.921848344984,11338.0,8416.567816258581,39874.0,42411.61489710669,1031.0,1542.1130256803128,0.0,0.0,28.0,22.522636052000028,53275.0,54368.010091225,6150.0,4881.6290368499995,1069.0,856.3249183209989,42812.0,35138.509366268,0.0,0.0
03,47026.0,81546.48312690355,12.0,20.8088673823596,15634.0,6777.621513662709,21631.0,37509.71752898504,8771.0,15209.547984223005,12112.0,21003.083477928292,959.0,1662.9753183069047,442.0,334.72075013,201.0,145.438697811,407.0,354.6403299340004,3.0,2.1451528290000033,3377.0,2464.741633739,12960.0,9508.70526624,91.0,68.581008951
04,1795.0,1459.932254745097,16283.0,13243.496882459283,966.0,196.41985488631758,1053.0,856.4393672682937,44.0,35.78664022773497,2869.0,2333.4516093948096,181.0,147.2132245731825,6.0,4.3611823439999995,118.0,78.78179588399999,34.0,15.659968166,130.0,88.40816569,1091.0,760.219310694,971.0,691.015168839,84.0,54.44654569199992
05,2337.0,1900.758595732196,220.0,178.93320113867483,1798.0,365.59306323560975,217.0,176.4932029413293,344.0,279.7864599622916,3588.0,2918.237844025297,763.0,620.5728748582222,0.0,0.0,51.0,34.049759238,0.0,0.0,40.0,27.202512520000003,75.0,52.26072255,0.0,0.0,0.0,0.0
06,13.0,10.573325521830785,6.0,4.879996394691132,8.0,1.62666546489704,0.0,0.0,0.0,0.0,56.0,45.54663301711723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.122135642,0.0,0.0,0.0,0.0,0.0,0.0
07,2854.0,2615.7217660783945,1507.0,1381.181745438031,1866.0,427.5522788632003,684.0,626.8933735100286,1055.0,966.9188728846202,2171.0,1989.744903348351,36.0,32.99438807947519,344.0,274.934331552,1008.0,752.2905660480001,0.0,0.0,143.0,103.99139078900001,610.0,454.83288724,31.0,23.226054205000032,0.0,0.0
08,62244.0,61294.458483582675,0.0,0.0,1578.0,388.4818435796766,13542.0,13335.41476744227,13501.0,13295.0402285658,28166.0,27736.323463283043,1109.0,1092.082039365934,0.0,0.0,6.0,4.735985820000006,9145.0,9043.52929309,873.0,700.435823778,186.0,148.775458974,15148.0,11914.198688728,0.0,0.0
09,7003.0,7056.198571198405,3486.0,3512.481539225709,1148.0,289.1802070446875,7811.0,7870.33657570052,2596.0,2615.720618425112,2394.0,2412.1861172995837,301.0,303.2865586078424,614.0,472.511605864,0.0,0.0,0.0,0.0,33.0,24.189350558999998,4779.0,3516.30083988,1084.0,762.26817128,462.0,315.117414612
10,113115.0,111389.41378077332,27.0,26.58811096743031,112.0,27.572855818075904,8057.0,7934.089261651334,2775.0,2732.6669605414486,81897.0,80647.64903332,452.0,445.1046724917963,0.0,0.0,0.0,0.0,21220.0,20984.54801524,6053.0,4856.515511258,6678.0,5341.518898002,53397.0,41997.786333642005,0.0,0.0
11,2192.0,1632.0196736350933,40541.0,30184.174082500147,674.0,125.45406706547153,2453.0,1826.3431840451112,379.0,282.1785840819801,2479.0,1845.7010816338488,112.0,83.38786653609966,1057.0,754.492295116,0.0,0.0,0.0,0.0,44.0,28.545377784000003,19905.0,12996.45124465498,2265.0,1567.7619831900001,153.0,100.18525404600001
12,11110.0,11194.397561904081,0.0,0.0,17716.0,4462.645076658261,1315.0,1324.9894503963878,13736.0,13840.346076535956,23816.0,23996.919202007884,1367.0,1377.384470488108,86.0,66.182407336,662.0,473.02398719,0.0,0.0,106.0,77.699126038,34.0,25.01657848,308.0,216.58542136,0.0,0.0
13,258.0,209.83984497171866,17516.0,14246.336141568312,13.0,2.64333138045769,706.0,574.2129091086565,0.0,0.0,324.0,263.5198053133211,0.0,0.0,295.0,214.42479858,0.0,0.0,0.0,0.0,172.0,116.970803836,1774.0,1236.140290716,285.0,202.821136065,0.0,0.0
14,80529.0,92198.47522515706,0.0,0.0,1966.0,562.7233738549429,3869.0,4429.657646886621,40679.0,46573.8028993799,14962.0,17130.146733708352,1053.0,1205.5904632131328,0.0,0.0,5.0,3.855243605,7625.0,7301.8097771249995,1066.0,832.352665976,411.0,313.973295834,16854.0,13464.042395280001,0.0,0.0
15,4569.0,7922.976255833418,0.0,0.0,4638.0,2010.6568108204965,0.0,0.0,4824.0,8365.16468770856,1090.0,1890.1387872309972,18.0,31.2133010735394,0.0,0.0,455.0,329.226903005,0.0,0.0,10.0,7.15050943000001,0.0,0.0,0.0,0.0,0.0,0.0
16,61835.0,59547.391566959246,6343.0,6108.33839587972,4225.0,1017.1736450651044,44394.0,42751.627738717376,9294.0,8950.165071938534,17079.0,16447.156150595893,700.0,674.1032440668145,542.0,451.47988353000005,0.0,0.0,0.0,0.0,84.0,62.977946808,45130.0,34833.313040760004,4991.0,3905.0431571620047,0.0,0.0
17,87737.0,84491.13760670015,26418.0,25440.656431081577,273.0,65.72506629651444,54905.0,52873.769450697786,8197.0,7893.7489880223975,30250.0,29130.890190030197,493.0,474.7612847499136,886.0,738.0280014900001,24.0,18.260595048,0.0,0.0,177.0,132.703530774,58172.0,44899.700558544006,11320.0,8856.960236240011,33.0,25.426255503
18,105888.0,91056.18153386466,5080.0,4368.440259444247,7209.0,2051.6601508682056,22977.0,19758.59288213592,3595.0,3091.445419823242,43748.0,57595.19575172686,1493.0,1272.5536964641806,430.0,366.9241256,317.0,251.82818777899968,0.0,0.0,12.0,9.5830599,11656.0,9151.676940456,64595.0,46434.303915234996,0.0,0.0
19,2303.0,4898.621179100956,14.0,29.7788521525894,5170.0,2749.2261719444195,2294.0,4879.477631288578,2993.0,6366.293178050006,1380.0,2935.343997898098,257.0,546.6546430868198,17.0,12.900791325999998,785.0,557.79939523,0.0,0.0,22.0,15.883091796,0.0,0.0,0.0,0.0,0.0,0.0
21,100918.0,118203.80371670838,45.0,52.707853576684805,5486.0,1606.4182484538546,7193.0,8425.057572824307,6306.0,7386.127214546097,68830.0,80619.590259627,2917.0,3416.640197404213,9.0,6.998854518,435.0,312.50650908,0.0,0.0,399.0,280.835720277,7118.0,5163.043890952,62227.0,46617.451386132,2326.0,2206.6867600400024
22,89494.0,97197.0823576717,0.0,0.0,13808.0,3749.1265146119804,32219.0,34992.20949428816,79673.0,86530.7522591769,24064.0,26135.27822932277,4057.0,4406.201121025701,0.0,0.0,22.0,16.476544458,0.0,0.0,1268.0,965.6105426800001,0.0,0.0,9598.0,7192.158908536,0.0,0.0
23,9937.0,21136.60384573435,0.0,0.0,12704.0,6755.545316901723,868.0,1846.288833460543,8510.0,18101.28798703827,5603.0,11917.922043639886,707.0,1503.8320337057648,40.0,30.35480312,277.0,196.828576406,0.0,0.0,7.0,5.053711026,641.0,455.45397983,1695.0,1220.795394345,0.0,0.0
24,24152.0,21550.60123641827,635.0,566.6044959061611,10080.0,2248.572172729962,33398.0,29800.719613029873,11558.0,10313.094116036866,8535.0,7615.699799305646,761.0,679.0331045426592,1229.0,935.786327886,15.0,10.762105409999986,10.0,6.70437356,23.0,16.666960465,13703.0,9847.292147458014,1999.0,1047.1686857339998,146.0,100.61549572599999
25,8531.0,10871.022953292966,0.0,0.0,2904.0,925.139217452896,3889.0,4955.738865942602,3977.0,5067.87695290659,6574.0,8377.224814787007,445.0,567.0619170338026,19.0,16.111220525,692.0,543.47179804,0.0,0.0,21.0,16.214214177,260.0,204.61931645999974,1564.0,1128.587337548,414.0,386.510312646
26,23340.0,21391.361604859747,7967.0,7301.841384143857,1219.0,279.3066602005579,19817.0,18162.494126971105,944.0,865.1861763062383,7501.0,6874.74736067065,430.0,394.09963539373143,3570.0,2853.24291756,209.0,155.980881254,0.0,0.0,372.0,270.523058556,7487.0,5582.514470108,917.0,687.041667935001,770.0,573.3283402000001
27,151100.0,137524.69573698964,405.0,368.61351272985314,144.0,32.76564557598691,5375.0,4892.0929158591625,14271.0,12988.848000414158,26084.0,23740.530533445653,413.0,375.89476730229467,10.0,8.506132280000001,0.0,0.0,8659.0,8480.13320175,2668.0,2078.7022984,29.0,23.072543811,54960.0,44465.60531184,0.0,0.0
28,161878.0,139203.61659809368,41887.0,36019.85376916165,1441.0,410.1043525317082,22190.0,19081.828613596033,3698.0,3180.018125871029,53195.0,70032.3772061148,1162.0,990.4269224992483,68.0,58.02521056,2645.0,2101.216267114997,7879.0,6918.694621471992,6634.0,5297.83494805,725.0,569.2317932249999,76434.0,54944.803552241996,0.0,0.0
29,53006.0,57568.42411168063,0.0,0.0,5361.0,1455.610316109127,38066.0,41342.482591314845,64857.0,70439.4838812827,22476.0,24410.593146702897,1547.0,1680.156059705881,0.0,0.0,0.0,0.0,0.0,0.0,5012.0,3816.7508201200003,0.0,0.0,3986.0,2986.866577352,0.0,0.0
2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.247694031,0.0,0.0,0.0,0.0,0.0,0.0
2B,0.0,0.0,0.0,0.0,0.0,0.0,429.0,1912.7944245075043,0.0,0.0,202.0,900.6631089755614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.606813433,0.0,0.0,0.0,0.0,0.0,0.0
30,1027.0,764.6369547551282,21499.0,16006.747702317916,188.0,34.993122564256154,181.0,134.7607485985182,0.0,0.0,2354.0,1752.6342663033804,0.0,0.0,604.0,431.138454352,0.0,0.0,0.0,0.0,250.0,162.1896465,2172.0,1418.1508215719978,298.0,206.26625650800003,0.0,0.0
31,39240.0,39538.0882384443,45345.0,45689.4651165203,2847.0,717.1568375054227,22244.0,22412.977440773575,5402.0,5443.036510297557,8556.0,8620.995998168437,379.0,381.8790887454228,5239.0,4031.739907364,0.0,0.0,0.0,0.0,25.0,18.325265575,56129.0,41298.69216188,11121.0,7820.28074982,4118.0,2808.773838468
32,85509.0,86158.57255813287,32981.0,33231.54149317359,3782.0,952.6825287831081,57075.0,57508.57253336413,2268.0,2285.2289532311843,10805.0,10887.080617135338,917.0,923.9660273866825,4272.0,3287.5726062719996,0.0,0.0,31.0,20.220438913,7.0,5.131074361,75048.0,55218.94652256,11689.0,8219.69802038,8404.0,5732.135827704
33,4729.0,4219.641986047615,229.0,204.33453474411164,934.0,208.34984219541514,31337.0,27961.708800332868,2372.0,2116.5131721093135,566.0,505.0364483195074,37.0,33.01475015516214,158.0,120.304507572,0.0,0.0,0.0,0.0,368.0,266.67136744,3375.0,2425.3529152500037,120.0,62.86155192,25.0,17.228680775
34,653.0,486.1810432863668,15840.0,11793.426838676953,334.0,62.16863264075295,324.0,241.22918533657403,0.0,0.0,1021.0,760.1697476192656,158.0,117.63645457771202,353.0,251.973301964,11.0,7.038675732,0.0,0.0,68.0,44.115583848,300.0,195.8771852999997,51.0,35.300600946,0.0,0.0
35,93181.0,101201.43619874188,0.0,0.0,12815.0,3479.5087112364226,25886.0,28114.10456467126,93571.0,101625.0049532896,14691.0,15955.509161693017,1018.0,1105.623056742461,14.0,11.365021528,55.0,41.191361145,0.0,0.0,487.0,370.86146237,45.0,33.848156025,9148.0,6854.956209136,0.0,0.0
36,106630.0,91694.2489890827,7164.0,6160.532680838304,9036.0,2571.6189656325573,10027.0,8622.509937292809,5440.0,4678.014766019037,41096.0,54103.779935379156,2363.0,2014.0953682149086,864.0,737.26149888,463.0,367.8121480809995,0.0,0.0,3.0,2.395764975,13851.0,10875.075266151,54077.0,38873.408976301,0.0,0.0
37,111048.0,95493.4161281033,4869.0,4186.995201424023,3074.0,874.8513391273219,15540.0,13363.299533811733,7898.0,6791.720702576903,20197.0,26589.79081552591,1266.0,1079.0709844096802,1691.0,1442.95045672,26.0,20.65467786199997,0.0,0.0,25.0,19.964708125,30974.0,24319.152501173998,29357.0,21103.364966941,56.0,42.430781847999995
38,30173.0,27653.879764500136,126.0,115.48035827816317,4001.0,916.7399076804203,32558.0,29839.75797476537,10303.0,9442.810566189803,11047.0,10124.694586498956,451.0,413.3463617734253,1229.0,982.250853132,256.0,191.057921536,0.0,0.0,207.0,150.532992261,7603.0,5669.007281452,4646.0,3480.911220530005,609.0,453.45059634
39,19120.0,24364.54798581192,0.0,0.0,2085.0,664.2270207952095,9941.0,12667.780937602318,2647.0,3373.0626840190457,8062.0,10273.37792163262,312.0,397.5804901450481,0.0,0.0,117.0,91.88757279,0.0,0.0,3.0,2.316316311,2930.0,2305.902297029997,5222.0,3768.211685854,2537.0,2368.542664693
40,1993.0,1778.3350556550852,0.0,0.0,1571.0,350.44711144432245,128855.0,114976.098141714,4345.0,3877.0024168697164,311.0,277.5023594123088,67.0,59.7834664971855,384.0,292.38563865599997,66.0,47.35326380399994,0.0,0.0,467.0,338.411762485,2486.0,1786.4969917960025,171.0,89.577711486,530.0,365.24803242999997
41,76981.0,66198.20858509402,32113.0,27614.905915656123,4377.0,1245.681298425598,14375.0,12361.482033368318,5135.0,4415.736364615395,20082.0,26438.39080840676,1242.0,1058.6146624303499,563.0,480.41461096,1705.0,1354.4702213349983,496.0,435.5467105279995,945.0,754.665967125,8161.0,6407.5871234609995,40656.0,29225.684030927998,0.0,0.0
42,10553.0,9671.938261186158,0.0,0.0,6352.0,1455.4191186168532,2244.0,2056.650190287287,12591.0,11539.787230796448,5165.0,4733.778178624704,159.0,145.7252140176821,52.0,41.559840816,950.0,709.0040057,0.0,0.0,206.0,149.805779738,269.0,200.57384699600001,202.0,151.34396611000022,0.0,0.0
43,13199.0,22888.020048313698,0.0,0.0,8527.0,3696.60858686209,142.0,246.2382640245886,7811.0,13544.838593634237,7459.0,12934.445150418356,276.0,478.6039497942708,18.0,13.63116177,2483.0,1796.638242113,0.0,0.0,117.0,83.66096033100013,250.0,182.46532675,270.0,198.09802638,0.0,0.0
44,48905.0,57446.452331015396,47.0,55.208736520963576,18425.0,5410.749842546563,8192.0,9622.765310207098,52004.0,61086.7049794934,6845.0,8040.506414595653,361.0,424.0500826397415,52.0,41.585174748,92.0,67.946050484,0.0,0.0,47.0,34.65998958900005,2053.0,1500.94115556,7707.0,5657.121388065,0.0,0.0
45,104262.0,89657.93667916853,26986.0,23206.04898452017,1599.0,455.07068681346385,29962.0,25765.19823887176,3936.0,3384.6812718843616,53327.0,70206.15808385157,1261.0,1074.8092506639864,267.0,227.83428264,1173.0,931.8437358509988,19365.0,17004.76219631998,1823.0,1455.826516475,7207.0,5658.556598307,34876.0,25070.714193788,41.0,31.065393852999996
